date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-04-01,Capital Metro,Baltimore,first class,91.83,93.57124999999999,92.44791044776119
2020-04-01,Capital Metro,Baltimore,marketing,90.54,90.78375,89.53373134328358
2020-04-01,Capital Metro,Baltimore,periodical,82.92,86.535,82.98134328358209
2020-04-04,Capital Metro,Baltimore,first class,88.77,92.39125,91.08268656716417
2020-04-04,Capital Metro,Baltimore,marketing,87.17,91.74875,88.09537313432836
2020-04-04,Capital Metro,Baltimore,periodical,84.37,86.54249999999999,81.46358208955223
2020-04-11,Capital Metro,Baltimore,first class,86.75,90.96000000000001,88.87402985074627
2020-04-11,Capital Metro,Baltimore,marketing,85.31,91.11375,87.90641791044776
2020-04-11,Capital Metro,Baltimore,periodical,76.68,80.91375000000001,76.45507462686567
2020-04-18,Capital Metro,Baltimore,first class,90.02,92.36125,90.52313432835821
2020-04-18,Capital Metro,Baltimore,marketing,89.8,93.125,88.38283582089552
2020-04-18,Capital Metro,Baltimore,periodical,80.94,84.69,77.98447761194029
2020-04-25,Capital Metro,Baltimore,first class,89.1,91.74375,89.73597014925373
2020-04-25,Capital Metro,Baltimore,marketing,85.93,91.27250000000001,87.3144776119403
2020-04-25,Capital Metro,Baltimore,periodical,70.37,79.39625000000001,74.06
2020-05-02,Capital Metro,Baltimore,first class,85.36,90.29875,89.182089552238807
2020-05-02,Capital Metro,Baltimore,marketing,77.15,86.16,86.49776119402985
2020-05-02,Capital Metro,Baltimore,periodical,53.59,76.46625,73.19462686567164
2020-05-09,Capital Metro,Baltimore,first class,78.86,88.87,89.02462686567164
2020-05-09,Capital Metro,Baltimore,marketing,67.2,86.395,87.77477611940299
2020-05-09,Capital Metro,Baltimore,periodical,36.73,66.375,69.31626865671642
2020-05-16,Capital Metro,Baltimore,first class,80.89,90.315,90.94850746268656
2020-05-16,Capital Metro,Baltimore,marketing,66.21,87.12375,89.65597014925373
2020-05-16,Capital Metro,Baltimore,periodical,27.03,71.49375,73.81582089552239
2020-05-23,Capital Metro,Baltimore,first class,88.91,91.97875,91.81462686567164
2020-05-23,Capital Metro,Baltimore,marketing,83.67,88.7275,89.30164179104477
2020-05-23,Capital Metro,Baltimore,periodical,61.07,78.765,76.63716417910447
2020-05-30,Capital Metro,Baltimore,first class,80.2,88.49875,89.82761194029851
2020-05-30,Capital Metro,Baltimore,marketing,76.24,87.99625,90.110597014925375
2020-05-30,Capital Metro,Baltimore,periodical,67.31,75.4725,76.74104477611941
2020-06-06,Capital Metro,Baltimore,first class,80.99,89.2925,90.2844776119403
2020-06-06,Capital Metro,Baltimore,marketing,73.22,85.8525,89.28955223880597
2020-06-06,Capital Metro,Baltimore,periodical,67.37,76.02,76.22820895522388
2020-06-13,Capital Metro,Baltimore,first class,86.03,90.15125,91.25044776119402
2020-06-13,Capital Metro,Baltimore,marketing,86.68,89.3275,90.66611940298507
2020-06-13,Capital Metro,Baltimore,periodical,71.02,78.81875,78.9720895522388
2020-06-20,Capital Metro,Baltimore,first class,85.04,89.9725,90.33910447761194
2020-06-20,Capital Metro,Baltimore,marketing,86.87,89.12125,90.69313432835821
2020-06-20,Capital Metro,Baltimore,periodical,76.76,80.215,77.99194029850746
2020-06-27,Capital Metro,Baltimore,first class,88.46,90.46,90.34238805970149
2020-06-27,Capital Metro,Baltimore,marketing,93.82,92.8325,91.24179104477612
2020-06-27,Capital Metro,Baltimore,periodical,79.25,81.66250000000001,80.67895522388059
2020-07-01,Capital Metro,Baltimore,first class,89.7,91.5675,91.40492537313433
2020-07-01,Capital Metro,Baltimore,marketing,89.77,88.8725,89.99686567164179
2020-07-01,Capital Metro,Baltimore,periodical,79.17,79.55,78.68358208955223
2020-07-04,Capital Metro,Baltimore,first class,87.97,89.94624999999999,90.30477611940299
2020-07-04,Capital Metro,Baltimore,marketing,88.03,87.7175,87.91850746268656
2020-07-04,Capital Metro,Baltimore,periodical,75.78,74.16375,76.04597014925373
2020-07-11,Capital Metro,Baltimore,first class,81.36,86.68125,85.64
2020-07-11,Capital Metro,Baltimore,marketing,84.02,82.25375,83.49074626865672
2020-07-11,Capital Metro,Baltimore,periodical,67.07,69.75375,73.44537313432836
2020-07-18,Capital Metro,Baltimore,first class,77.06,82.73875,82.65940298507462
2020-07-18,Capital Metro,Baltimore,marketing,80.03,79.16624999999999,81.20328358208955
2020-07-18,Capital Metro,Baltimore,periodical,71.79,67.32125,71.2423880597015
2020-07-25,Capital Metro,Baltimore,first class,75.14,82.48875,83.4613432835821
2020-07-25,Capital Metro,Baltimore,marketing,76,79.95625,83.07761194029851
2020-07-25,Capital Metro,Baltimore,periodical,47.7,65.71125,67.87805970149253
2020-08-01,Capital Metro,Baltimore,first class,64.05,81.52250000000001,82.64
2020-08-01,Capital Metro,Baltimore,marketing,65.44,77.71625,80.8176119402985
2020-08-01,Capital Metro,Baltimore,periodical,53.58,67.0325,68.53910447761194
2020-08-08,Capital Metro,Baltimore,first class,59.63,78.73375,81.42850746268657
2020-08-08,Capital Metro,Baltimore,marketing,58.54,77.645,82.4720895522388
2020-08-08,Capital Metro,Baltimore,periodical,41.84,66.57875,68.86507462686568
2020-08-15,Capital Metro,Baltimore,first class,64.75,82.0125,85.14671641791045
2020-08-15,Capital Metro,Baltimore,marketing,59.57,80.2125,86.32208955223881
2020-08-15,Capital Metro,Baltimore,periodical,34.88,67.40375,72.42880597014926
2020-08-22,Capital Metro,Baltimore,first class,72.59,85.2675,87.66373134328359
2020-08-22,Capital Metro,Baltimore,marketing,73.85,86.27625,89.65507462686567
2020-08-22,Capital Metro,Baltimore,periodical,34.55,70.17125,75.35179104477612
2020-08-29,Capital Metro,Baltimore,first class,59.74,83.35625,87.9558208955224
2020-08-29,Capital Metro,Baltimore,marketing,58.1,85.88875,89.71492537313434
2020-08-29,Capital Metro,Baltimore,periodical,29.15,69.1925,77.81626865671642
2020-09-05,Capital Metro,Baltimore,first class,61.13,83.06125,88.63970149253731
2020-09-05,Capital Metro,Baltimore,marketing,56.11,80.185,87.56910447761194
2020-09-05,Capital Metro,Baltimore,periodical,48.36,76.03625,79.4310447761194
2020-09-12,Capital Metro,Baltimore,first class,61.24,80.98125,86.31940298507463
2020-09-12,Capital Metro,Baltimore,marketing,59.53,80.975,87.01388059701493
2020-09-12,Capital Metro,Baltimore,periodical,61.61,73.96875,77.99432835820896
2020-09-19,Capital Metro,Baltimore,first class,60.67,76.195,84.3179104477612
2020-09-19,Capital Metro,Baltimore,marketing,74.89,83.8675,88.86358208955224
2020-09-19,Capital Metro,Baltimore,periodical,65.65,75.3925,79.76626865671642
2020-09-26,Capital Metro,Baltimore,first class,73.67,80.91375,85.99880597014925
2020-09-26,Capital Metro,Baltimore,marketing,86.97,86.69125,89.72044776119402
2020-09-26,Capital Metro,Baltimore,periodical,64.91,71.485,77.87910447761195
