date,area,district,mail_type,pct_on_time
2020-03-07,Northeast,NA,periodical,82.34
2020-03-14,Northeast,NA,first_class,90.56
2020-03-14,Northeast,NA,marketing,87.27
2020-03-14,Northeast,NA,periodical,80.5
2020-03-21,Northeast,NA,first_class,91.17
2020-03-21,Northeast,NA,marketing,89.73
2020-03-21,Northeast,NA,periodical,78.18
2020-03-28,Northeast,NA,first_class,91.02
2020-03-28,Northeast,NA,marketing,89.99
2020-03-28,Northeast,NA,periodical,73.87
2020-04-01,Northeast,NA,first_class,90.88
2020-04-01,Northeast,NA,marketing,86.98
2020-04-01,Northeast,NA,periodical,76.26
2020-04-04,Northeast,NA,first_class,88.48
2020-04-04,Northeast,NA,marketing,77.4
2020-04-04,Northeast,NA,periodical,63.52
2020-04-11,Northeast,NA,first_class,84.09
2020-04-11,Northeast,NA,marketing,74.19
2020-04-11,Northeast,NA,periodical,50.42
2020-04-18,Northeast,NA,first_class,85.91
2020-04-18,Northeast,NA,marketing,76.41
2020-04-18,Northeast,NA,periodical,51.08
2020-04-25,Northeast,NA,first_class,85.57
2020-04-25,Northeast,NA,marketing,72.43
2020-04-25,Northeast,NA,periodical,39.24
2020-05-02,Northeast,NA,first_class,84.12
2020-05-02,Northeast,NA,marketing,70.03
2020-05-02,Northeast,NA,periodical,41.35
2020-05-09,Northeast,NA,first_class,85.26
2020-05-09,Northeast,NA,marketing,77.96
2020-05-09,Northeast,NA,periodical,42.51
2020-05-16,Northeast,NA,first_class,88.56
2020-05-16,Northeast,NA,marketing,82.29
2020-05-16,Northeast,NA,periodical,50.58
2020-05-23,Northeast,NA,first_class,89.48
2020-05-23,Northeast,NA,marketing,84.53
2020-05-23,Northeast,NA,periodical,53.41
2020-05-30,Northeast,NA,first_class,87.84
2020-05-30,Northeast,NA,marketing,87.9
2020-05-30,Northeast,NA,periodical,63.01
2020-06-06,Northeast,NA,first_class,88.25
2020-06-06,Northeast,NA,marketing,87.13
2020-06-06,Northeast,NA,periodical,56.93
2020-06-13,Northeast,NA,first_class,90.14
2020-06-13,Northeast,NA,marketing,88.42
2020-06-13,Northeast,NA,periodical,64.55
2020-06-20,Northeast,NA,first_class,89.56
2020-06-20,Northeast,NA,marketing,88.73
2020-06-20,Northeast,NA,periodical,65.6
2020-06-27,Northeast,NA,first_class,89.51
2020-06-27,Northeast,NA,marketing,88.39
2020-06-27,Northeast,NA,periodical,72.75
2020-07-01,Northeast,NA,first_class,90.83
2020-07-01,Northeast,NA,marketing,91.06
2020-07-01,Northeast,NA,periodical,72.12
2020-07-04,Northeast,NA,first_class,89.87
2020-07-04,Northeast,NA,marketing,87.65
2020-07-04,Northeast,NA,periodical,71.7
2020-07-11,Northeast,NA,first_class,84.25
2020-07-11,Northeast,NA,marketing,84.79
2020-07-11,Northeast,NA,periodical,65.7
2020-07-18,Northeast,NA,first_class,82.64
2020-07-18,Northeast,NA,marketing,84.28
2020-07-18,Northeast,NA,periodical,66.32
2020-07-25,Northeast,NA,first_class,85.58
2020-07-25,Northeast,NA,marketing,86.14
2020-07-25,Northeast,NA,periodical,65.67
2020-08-01,Northeast,NA,first_class,84.29
2020-08-01,Northeast,NA,marketing,81.54
2020-08-01,Northeast,NA,periodical,65.51
2020-08-08,Northeast,NA,first_class,81.26
2020-08-08,Northeast,NA,marketing,82.96
2020-08-08,Northeast,NA,periodical,64.34
2020-08-15,Northeast,NA,first_class,85.91
2020-08-15,Northeast,NA,marketing,88.91
2020-08-15,Northeast,NA,periodical,68.93
2020-08-22,Northeast,NA,first_class,88.33
2020-08-22,Northeast,NA,marketing,89.24
2020-08-22,Northeast,NA,periodical,71.73
2020-08-29,Northeast,NA,first_class,89.74
2020-08-29,Northeast,NA,marketing,90.17
2020-08-29,Northeast,NA,periodical,72.7
2020-01-04,Pacific,NA,first_class,93.61
2020-01-04,Pacific,NA,marketing,93.21
2020-01-04,Pacific,NA,periodical,84.8
2020-01-11,Pacific,NA,first_class,92.62
2020-01-11,Pacific,NA,marketing,91.93
2020-01-11,Pacific,NA,periodical,85.16
2020-01-18,Pacific,NA,first_class,93.84
2020-01-18,Pacific,NA,marketing,92.32
2020-01-18,Pacific,NA,periodical,89.86
2020-01-25,Pacific,NA,first_class,92.35
2020-01-25,Pacific,NA,marketing,91.46
2020-01-25,Pacific,NA,periodical,89.13
2020-02-01,Pacific,NA,first_class,90.72
2020-02-01,Pacific,NA,marketing,88.77
2020-02-01,Pacific,NA,periodical,87.07
2020-02-08,Pacific,NA,first_class,91.51
